stulinr;posnr;menge;artnr;artbez1
61.03.0280;10;8;10.10.0073;6-kt-Schrauben
61.03.0280;20;8;10.10.0934;U-Scheiben
61.03.0280;30;1;61.03.0099;Spill
61.03.0280;40;1;61.02.0044;Spillnabe
61.02.0100;100;1;60.02.5110;Fernbetätigung Windenantrieb
60.02.5110;20;2;10.44.0043;Sterngriffschraube
60.02.5110;30;1;12.75.0010;Stellhebel 46.66 ohne Sperre
60.02.5110;40;1;12.75.0012;Druck-Zug-Kabel für Stellhebel
60.02.5110;50;1;12.75.0011;Gabelkopf mit ES-Bolzen, verzinkt
60.02.5110;90;1;12.30.2023;Bauchgurt zu Funksender Tiger G2
60.02.5110;60;1;61.02.0209;Winkel Bedienung
60.02.5110;70;1;61.02.0211;Halter Bedienung
60.02.5110;80;2;61.02.0206;Gurthalter
60.02.5110;55;1;12.74.0030;Feder stark (ET. 102)
61.02.0100;110;1;60.02.5115;Messsteuerung PMC14 S Direktzug
60.02.5115;20;5;12.64.0120;Baugrp Klemmenkasten KZW10
60.02.5115;30;5;12.64.0121;Baugrp Bedieneinheit KZW10
60.02.5115;40;5;12.64.0006;Ein-/ Ausgangsmodul
60.02.5115;50;5;12.64.0005;Anzeige-/Bediengerät
60.02.5115;60;5;12.64.0008;JVM-104 Befestigungs Set Einbau
60.02.5115;70;1;61.02.0141;Baugruppe Schutzrohr
60.02.5115;80;1;61.02.0144;Baugruppe Schutz Längenmessung
60.02.5115;90;1;12.89.1002;Lastmessbolzen 25kN, Ø25h6, 4-20mA
60.02.5115;100;2;12.31.0017;Sensor induktiv
60.02.5115;110;2;12.31.0020;Steckverbinder M12, 4-polig, 90°
60.02.5115;120;1;12.31.0021;Steckverbinder M12, 4-polig, gerade
61.02.0100;120;1;50.41.0000;Typenschild Jost
